WKT,name,description
"LINESTRING (-101.8734029 33.5850195, -101.873323 33.5850685)", Line 297,
"LINESTRING (-101.873323 33.5850685, -101.8732694 33.5851222)", Line 298,
"LINESTRING (-101.8748304 33.5855749, -101.8745351 33.5855753)", Line 299,
"LINESTRING (-101.8725974 33.5848975, -101.8726054 33.5848414)", Line 300,
"LINESTRING (-101.8726054 33.5848414, -101.8726076 33.5847923)", Line 301,
"LINESTRING (-101.873175 33.5854577, -101.8731751 33.5855722)", Line 302,
"LINESTRING (-101.8731751 33.5855722, -101.8731725 33.5859132)", Line 303,
"LINESTRING (-101.8731725 33.5859132, -101.873171 33.5861118)", Line 304,
"LINESTRING (-101.873171 33.5861118, -101.8734963 33.5861081)", Line 305,
"LINESTRING (-101.8734963 33.5861081, -101.87357 33.5861073)", Line 306,
"LINESTRING (-101.8744296 33.5855761, -101.8743433 33.5855989)", Line 307,
"LINESTRING (-101.8743433 33.5855989, -101.8741954 33.5855984)", Line 308,
"LINESTRING (-101.8743409 33.5865315, -101.8742104 33.5863039)", Line 309,
"LINESTRING (-101.8742104 33.5863039, -101.8741879 33.586267)", Line 310,
"LINESTRING (-101.8741879 33.586267, -101.8741882 33.5861017)", Line 311,
"LINESTRING (-101.8749556 33.5870844, -101.8750499 33.5870875)", Line 312,
"LINESTRING (-101.8750499 33.5870875, -101.8751586 33.5870882)", Line 313,
"LINESTRING (-101.8751586 33.5870882, -101.8752864 33.5870866)", Line 314,
"LINESTRING (-101.8724422 33.5847954, -101.872267 33.5847919)", Line 315,
"LINESTRING (-101.872267 33.5847919, -101.8721388 33.5847897)", Line 316,
"LINESTRING (-101.8721388 33.5847897, -101.8718338 33.584786)", Line 317,
"LINESTRING (-101.8750192 33.5853009, -101.8749453 33.5853002)", Line 318,
"LINESTRING (-101.8748421 33.5857993, -101.8745351 33.5855753)", Line 319,
"LINESTRING (-101.8751429 33.5861639, -101.8753018 33.5862612)", Line 320,
"LINESTRING (-101.8743481 33.5839115, -101.8743501 33.584126)", Line 321,
"LINESTRING (-101.8743501 33.584126, -101.8743527 33.5843384)", Line 322,
"LINESTRING (-101.8743527 33.5843384, -101.8743531 33.5846053)", Line 323,
"LINESTRING (-101.8743531 33.5846053, -101.8743544 33.585033)", Line 324,
"LINESTRING (-101.8752696 33.584079, -101.875248 33.5840848)", Line 325,
"LINESTRING (-101.875248 33.5840848, -101.8746853 33.5841113)", Line 326,
"LINESTRING (-101.8746853 33.5841113, -101.8743501 33.584126)", Line 327,
"LINESTRING (-101.8743501 33.584126, -101.8740481 33.5841388)", Line 328,
"LINESTRING (-101.8798305 33.586032, -101.8795813 33.586035)", Line 329,
"LINESTRING (-101.8795813 33.586035, -101.8793281 33.586038)", Line 330,
"LINESTRING (-101.8793281 33.586038, -101.8793013 33.5860383)", Line 331,
"LINESTRING (-101.8798305 33.586032, -101.8798303 33.5859525)", Line 332,
"LINESTRING (-101.8798303 33.5859525, -101.8795813 33.585953)", Line 333,
"LINESTRING (-101.8795813 33.585953, -101.8794033 33.5859533)", Line 334,
"LINESTRING (-101.8794033 33.5859533, -101.8793275 33.5859535)", Line 335,
"LINESTRING (-101.8793275 33.5859535, -101.8793075 33.5859535)", Line 336,
"LINESTRING (-101.8793075 33.5859535, -101.8792497 33.5859542)", Line 337,
"LINESTRING (-101.8792497 33.5859542, -101.8791725 33.585955)", Line 338,
"LINESTRING (-101.8791725 33.585955, -101.8791323 33.5859555)", Line 339,
"LINESTRING (-101.8791323 33.5859555, -101.878779 33.5859574)", Line 340,
"LINESTRING (-101.878779 33.5859574, -101.8787616 33.5859551)", Line 341,
"LINESTRING (-101.8787616 33.5859551, -101.8787281 33.5859516)", Line 342,
"LINESTRING (-101.8787281 33.5859516, -101.8786993 33.5859536)", Line 343,
