WKT,name,description
"POINT (-101.8708018 33.5817833)", Start or End node Name 412 ,
"POINT (-101.8708587 33.5832977)", Start or End node Name 413 ,
"POINT (-101.8707693 33.5836226)", Start or End node Name 414 ,
"POINT (-101.8750285 33.5866844)", Start or End node Name 415 ,
"POINT (-101.8751585 33.5871390)", Start or End node Name 416 ,
"POINT (-101.8751559 33.5864245)", Start or End node Name 417 ,
"POINT (-101.8751596 33.5866847)", Start or End node Name 418 ,
"POINT (-101.8751429 33.5861639)", Start or End node Name 419 ,
"POINT (-101.8751387 33.5855685)", Start or End node Name 420 ,
"POINT (-101.8751429 33.5861639)", Start or End node Name 421 ,
"POINT (-101.8750278 33.5860932)", Start or End node Name 422 ,
"POINT (-101.8755591 33.5823125)", Start or End node Name 423 ,
"POINT (-101.8777683 33.5823614)", Start or End node Name 424 ,
"POINT (-101.8759241 33.5823121)", Start or End node Name 425 ,
"POINT (-101.8759210 33.5819584)", Start or End node Name 426 ,
"POINT (-101.8757865 33.5861938)", Start or End node Name 427 ,
"POINT (-101.8757619 33.5846577)", Start or End node Name 428 ,
"POINT (-101.8710717 33.5818023)", Start or End node Name 429 ,
"POINT (-101.8714854 33.5828931)", Start or End node Name 430 ,
"POINT (-101.8710837 33.5825651)", Start or End node Name 431 ,
"POINT (-101.8705612 33.5826969)", Start or End node Name 432 ,
"POINT (-101.8710854 33.5827523)", Start or End node Name 433 ,
"POINT (-101.8707889 33.5826933)", Start or End node Name 434 ,
"POINT (-101.8708191 33.5800101)", Start or End node Name 435 ,
